392,0.023838,0.000000,0.405103,0.034377,0.000000,0.157883,0.000000,0.000000,0.000000,0.000000,0.040413,0.262200,0.022265,0.000000,0.154978,0.056395,0.030131,0.012118,0.000000,0.001530,0.000000,0.000000,0.551342,0.399089,0.670376,0.781507,0.583718,0.612140,0.674423,0.756524,0.652946,0.557230,0.466186,0.383609,0.316216,0.796158,0.755903,0.719837,0.000000,0.000000,0.000000,0.000000,0.048620,0.147059,0.328320
393,0.023335,0.000000,0.427462,0.025947,0.000000,0.189416,0.000000,0.000000,0.000000,0.000000,0.030547,0.271800,0.020978,0.000000,0.168498,0.069124,0.030491,0.012147,0.000000,0.001472,0.000000,0.000000,0.554388,0.402611,0.672805,0.782725,0.590565,0.617877,0.679081,0.759324,0.652104,0.555547,0.464886,0.383218,0.313882,0.796723,0.757322,0.721666,0.000000,0.000000,0.000000,0.017185,0.052428,0.153859,0.342902
394,0.022839,0.000000,0.450351,0.018789,0.000000,0.221001,0.000000,0.000000,0.000000,0.000000,0.022191,0.281400,0.019834,0.000000,0.182049,0.081918,0.031320,0.012279,0.000000,0.001423,0.000000,0.000000,0.557411,0.406124,0.675208,0.783934,0.597339,0.623550,0.683691,0.762102,0.651453,0.554155,0.463793,0.382885,0.311928,0.797299,0.758732,0.723478,0.000000,0.000000,0.000000,0.041020,0.056270,0.160609,0.357360
395,0.022348,0.000000,0.473614,0.012857,0.011406,0.252522,0.000000,0.000000,0.000000,0.000000,0.015283,0.291000,0.018825,0.000000,0.195631,0.094774,0.032599,0.012510,0.000000,0.001383,0.000000,0.000000,0.560408,0.409628,0.677583,0.785134,0.604033,0.629155,0.688247,0.764853,0.650983,0.553038,0.462897,0.382607,0.310333,0.797887,0.760132,0.725275,0.000000,0.000000,0.000000,0.064815,0.060144,0.167308,0.371667
396,0.021864,0.000000,0.497092,0.008107,0.048333,0.283858,0.000000,0.000000,0.000000,0.000000,0.009766,0.300600,0.017942,0.000000,0.209244,0.107695,0.034310,0.012835,0.000000,0.001352,0.000000,0.000000,0.563380,0.413122,0.679930,0.786325,0.610639,0.634687,0.692742,0.767571,0.650683,0.552180,0.462186,0.382384,0.309076,0.798487,0.761524,0.727055,0.000000,0.000000,0.000055,0.088479,0.064052,0.173955,0.385796
397,0.021387,0.000000,0.520628,0.004491,0.084719,0.314893,0.000000,0.000000,0.000000,0.000000,0.005579,0.310200,0.017176,0.000000,0.222887,0.120678,0.036434,0.013251,0.000000,0.001328,0.000000,0.000000,0.566325,0.416606,0.682246,0.787508,0.617146,0.640142,0.697171,0.770250,0.650545,0.551564,0.461652,0.382213,0.308136,0.799099,0.762907,0.728818,0.000000,0.002035,0.001818,0.111920,0.067991,0.180548,0.399720
398,0.020917,0.000000,0.544063,0.001966,0.120500,0.345507,0.000000,0.000000,0.000000,0.000000,0.002662,0.319800,0.016519,0.000000,0.236561,0.133723,0.038953,0.013753,0.000000,0.001312,0.000000,0.000000,0.569244,0.420080,0.684531,0.788681,0.623548,0.645516,0.701528,0.772885,0.650558,0.551173,0.461283,0.382094,0.307491,0.799722,0.764281,0.730563,0.000000,0.005726,0.003563,0.135048,0.071962,0.187087,0.413413
399,0.020454,0.000000,0.567239,0.000484,0.155615,0.375582,0.000000,0.000000,0.000000,0.000000,0.000956,0.329400,0.015963,0.000000,0.250265,0.146831,0.041848,0.014338,0.000000,0.001303,0.000000,0.000000,0.572136,0.423545,0.686782,0.789845,0.629836,0.650803,0.705806,0.775470,0.650713,0.550990,0.461069,0.382023,0.307119,0.800355,0.765645,0.732291,0.007327,0.009381,0.005291,0.157772,0.075966,0.193572,0.426849
400,0.020000,0.000000,0.590000,0.000000,0.190000,0.405000,0.000000,0.000000,0.000000,0.000000,0.000400,0.339000,0.015500,0.000000,0.264000,0.160000,0.045100,0.015000,0.000000,0.001300,0.000000,0.000000,0.575000,0.427000,0.689000,0.791000,0.636000,0.656000,0.710000,0.778000,0.651000,0.551000,0.461000,0.382000,0.307000,0.801000,0.767000,0.734000,0.015900,0.013000,0.007000,0.180000,0.080000,0.200000,0.440000
401,0.019554,0.000000,0.612187,0.000469,0.223594,0.433643,0.000000,0.000000,0.000000,0.000000,0.000936,0.348600,0.015121,0.000000,0.277765,0.173231,0.048691,0.015736,0.000000,0.001303,0.000000,0.000000,0.577836,0.430445,0.691182,0.792145,0.642033,0.661102,0.714104,0.780468,0.651410,0.551185,0.461066,0.382023,0.307112,0.801655,0.768345,0.735691,0.024335,0.016581,0.008691,0.201642,0.084065,0.206371,0.452840
