380,0.283000,0.435900,0.278200,0.355900,0.489700,0.440400,0.298800,0.291000,0.307300,0.166800,0.030200,0.152900,0.489700,0.291400,0.484300,0.360600,0.358000,0.549400,0.421600,0.461600,0.314500,0.099400,0.203200,0.572400,0.639100,0.616600,0.053500,0.083800,0.118400,0.075100,0.096000,0.249100,0.056700,0.039500,0.046600,0.043500,0.045100,0.051200,0.039100,0.039200,0.052800,0.037500,0.053700,0.042000,0.046600,0.039100,0.042400,0.039300,0.041500,0.041500,0.040100,0.040500,0.047600,0.037100,0.037900,0.049500,0.096100,0.084600,0.036700,0.114900,0.042900,0.066100,0.053000,0.419000,0.127600,0.233300,0.217300,0.105200,0.145300,0.182400,0.190700,0.170100,0.087400,0.214900,0.213300,0.124500,0.148000,0.298100,0.225700,0.156500,0.211100,0.066400,0.060800,0.024600,0.081100,0.080200,0.067000,0.066400,0.456500,0.036800,0.058000,0.041500,0.099000,0.387000,0.127700,0.048200,0.051300,0.039300,0.038100,0.038400,0.039600,0.042800,0.046800,0.035700,0.040700,0.081500,0.046500,0.036000,0.029200,0.046900,0.078800,0.039200,0.037600,0.088300,0.083400,0.050500,0.073700,0.047200,0.050200,0.103000,0.054600,0.056100,0.217200,0.015700,0.044100,0.051900,0.040900,0.039200,0.035900,0.041100,0.037900,0.035300,0.037700,0.042600,0.205400,0.047100,0.041500,0.036400,0.065000,0.053800,0.102500,0.043700,0.070500,0.045700,0.025500,0.085100,0.084600,0.068500,0.038400,0.039600,0.035300,0.079400,0.069100,0.072700,0.153300,0.061400,0.034900,0.038200,0.095900,0.045100,0.041200
381,0.286461,0.440696,0.281087,0.359377,0.494517,0.444046,0.301607,0.292863,0.309285,0.168361,0.030208,0.156553,0.496687,0.29696,0.488767,0.364641,0.363894,0.554056,0.425395,0.46701,0.315942,0.100997,0.201974,0.577302,0.642629,0.620763,0.054147,0.086063,0.121698,0.075719,0.097488,0.253064,0.057218,0.039865,0.046116,0.043194,0.044944,0.051148,0.039019,0.039254,0.053039,0.037473,0.053567,0.042098,0.046685,0.03894,0.042454,0.039629,0.041376,0.041611,0.039982,0.040421,0.047778,0.037738,0.038093,0.049921,0.099154,0.090905,0.036744,0.119134,0.043328,0.066142,0.053467,0.420924,0.130545,0.239911,0.22063,0.10539,0.146068,0.18273,0.192731,0.17209,0.088123,0.216907,0.215937,0.125276,0.149728,0.301416,0.228528,0.158157,0.213682,0.066523,0.061343,0.02451,0.081102,0.080227,0.067281,0.066242,0.458133,0.037084,0.058228,0.042611,0.099379,0.390807,0.128768,0.048314,0.051482,0.039496,0.038326,0.03829,0.039626,0.043063,0.046823,0.035847,0.040963,0.082021,0.046489,0.035838,0.029192,0.047427,0.080167,0.038992,0.037411,0.088096,0.083387,0.05114,0.075018,0.047199,0.051199,0.102672,0.054735,0.056814,0.221618,0.015703,0.043957,0.051717,0.040801,0.039368,0.035906,0.040944,0.03787,0.035398,0.0377,0.042609,0.206011,0.047182,0.041712,0.036438,0.065133,0.053018,0.102689,0.043706,0.070368,0.045457,0.025958,0.085181,0.085116,0.068915,0.038319,0.039605,0.035595,0.079911,0.069126,0.072833,0.153839,0.061662,0.034994,0.038221,0.096376,0.045047,0.041154
382,0.289983,0.445492,0.283997,0.362886,0.49934,0.447692,0.304429,0.29475,0.311289,0.169933,0.030232,0.160281,0.503555,0.302528,0.493176,0.368622,0.369765,0.558675,0.429066,0.472293,0.317262,0.102798,0.200698,0.582156,0.646074,0.624881,0.054828,0.088525,0.125234,0.076468,0.099003,0.256995,0.057762,0.040219,0.045648,0.042898,0.044788,0.051091,0.038936,0.039298,0.053274,0.037451,0.053438,0.04219,0.046768,0.038799,0.042498,0.039951,0.041257,0.041724,0.039866,0.040343,0.04795,0.038348,0.038279,0.050329,0.102315,0.097071,0.036795,0.123261,0.043746,0.066263,0.054275,0.422561,0.133777,0.246662,0.224089,0.10559,0.14684,0.183147,0.194786,0.174111,0.088862,0.219015,0.218658,0.126114,0.15152,0.304917,0.231547,0.159894,0.216319,0.06667,0.061892,0.024422,0.081109,0.080249,0.067555,0.06609,0.459712,0.037362,0.058432,0.043693,0.099756,0.394628,0.129809,0.048425,0.051659,0.039681,0.03854,0.03819,0.039652,0.043312,0.046842,0.035986,0.041212,0.08264,0.046458,0.035671,0.02917,0.047942,0.081495,0.03879,0.037224,0.087867,0.083349,0.05177,0.076313,0.047195,0.052173,0.102348,0.054844,0.057507,0.226002,0.01571,0.043819,0.051538,0.040706,0.03953,0.035913,0.040806,0.037841,0.03549,0.0377,0.042634,0.206613,0.047269,0.041917,0.036482,0.065262,0.052255,0.102876,0.043722,0.070231,0.04522,0.026402,0.085264,0.085625,0.069328,0.038254,0.039621,0.035888,0.08048,0.069202,0.073009,0.154365,0.061918,0.035085,0.038245,0.096852,0.044998,0.041108
383,0.293564,0.45029,0.286931,0.366428,0.504168,0.45134,0.307264,0.296662,0.313313,0.171516,0.03027,0.164083,0.5103,0.308106,0.497526,0.372541,0.375613,0.563255,0.43259,0.477443,0.318455,0.104789,0.199373,0.586963,0.649427,0.628953,0.05554,0.091174,0.128996,0.077337,0.100543,0.260892,0.05833,0.040557,0.045201,0.042615,0.04463,0.051029,0.03885,0.039331,0.053498,0.037434,0.053313,0.042277,0.046851,0.038677,0.042531,0.04026,0.041143,0.041839,0.039755,0.040268,0.048115,0.03892,0.038458,0.050719,0.105579,0.102979,0.036853,0.127274,0.044146,0.066456,0.055388,0.423929,0.137279,0.253549,0.22767,0.1058,0.147618,0.183642,0.196862,0.176161,0.089617,0.22122,0.221459,0.127008,0.153374,0.308596,0.234747,0.161709,0.219008,0.06684,0.062448,0.024338,0.081121,0.080266,0.067821,0.065943,0.461224,0.037629,0.058612,0.044742,0.100131,0.398464,0.130823,0.048533,0.05183,0.039853,0.03874,0.038101,0.03968,0.043543,0.046858,0.036115,0.041443,0.083349,0.046408,0.035501,0.029135,0.048435,0.082782,0.038593,0.037039,0.087612,0.083287,0.052389,0.077583,0.047189,0.053103,0.102027,0.054928,0.058171,0.230352,0.015722,0.043686,0.051369,0.040614,0.039685,0.035921,0.040685,0.037813,0.035577,0.0377,0.042674,0.207207,0.04736,0.042114,0.036532,0.065387,0.051509,0.103061,0.043747,0.070091,0.044994,0.026828,0.08535,0.086126,0.069741,0.038203,0.039646,0.036181,0.081105,0.069323,0.073223,0.154876,0.062167,0.035174,0.038271,0.09733,0.044954,0.04106
384,0.297204,0.455088,0.289888,0.370003,0.509,0.454988,0.310114,0.298599,0.315356,0.17311,0.03032,0.167956,0.516917,0.313692,0.501815,0.376397,0.381438,0.567797,0.435943,0.482451,0.319511,0.106957,0.198001,0.591721,0.652685,0.632978,0.056283,0.093999,0.132971,0.078315,0.102109,0.264756,0.058921,0.040876,0.044777,0.042347,0.044472,0.050964,0.038763,0.039357,0.053709,0.037422,0.053193,0.042355,0.046932,0.038574,0.042557,0.04055,0.041038,0.041957,0.039647,0.040194,0.04827,0.039444,0.038626,0.051086,0.108942,0.108512,0.036917,0.131164,0.044521,0.066713,0.056772,0.42505,0.141034,0.260569,0.23137,0.106019,0.148401,0.184209,0.198961,0.178241,0.090386,0.223517,0.224338,0.127957,0.155289,0.312444,0.238118,0.163599,0.221748,0.067031,0.063009,0.024259,0.081136,0.080278,0.068078,0.065805,0.462655,0.037879,0.058768,0.045758,0.100504,0.402313,0.131808,0.048639,0.051994,0.04001,0.038924,0.038023,0.039709,0.043752,0.046871,0.036233,0.041652,0.084141,0.046339,0.035326,0.029087,0.048895,0.084022,0.038402,0.036855,0.087336,0.083206,0.052997,0.078827,0.047181,0.05397,0.101711,0.054992,0.058794,0.234667,0.015738,0.04356,0.051211,0.040526,0.039833,0.03593,0.040581,0.037786,0.035655,0.0377,0.042729,0.207792,0.047455,0.0423,0.036587,0.065507,0.050784,0.103245,0.043781,0.069946,0.044784,0.027234,0.085437,0.086619,0.070152,0.038165,0.039679,0.036472,0.081781,0.069483,0.073474,0.155374,0.06241,0.035259,0.038298,0.097808,0.044915,0.041012
385,0.300901,0.459888,0.292868,0.373608,0.513838,0.458638,0.312977,0.300559,0.317418,0.174715,0.030381,0.171899,0.523403,0.319288,0.506042,0.380187,0.38724,0.572299,0.439103,0.487311,0.320425,0.109288,0.196585,0.596429,0.655841,0.636956,0.057055,0.096988,0.137147,0.079393,0.103699,0.268585,0.059535,0.041174,0.044383,0.042097,0.044312,0.050894,0.038674,0.039375,0.0539,0.037413,0.053078,0.042425,0.047013,0.038488,0.042575,0.040813,0.040944,0.042076,0.039544,0.040123,0.048414,0.039912,0.038782,0.051424,0.1124,0.113551,0.036986,0.134923,0.044863,0.067027,0.058392,0.425944,0.145025,0.267719,0.235184,0.106247,0.149188,0.18484,0.201082,0.180349,0.091171,0.225903,0.227293,0.128956,0.15726,0.316451,0.24165,0.165559,0.224539,0.06724,0.063577,0.024188,0.081155,0.080287,0.068325,0.065675,0.463993,0.038106,0.0589,0.046737,0.100875,0.406177,0.132761,0.048741,0.052151,0.04015,0.039088,0.037956,0.039738,0.043937,0.046881,0.036338,0.041837,0.085007,0.046253,0.035148,0.029028,0.049312,0.085213,0.038218,0.036674,0.087038,0.083105,0.053595,0.080045,0.047171,0.054756,0.101398,0.055038,0.059366,0.238947,0.015758,0.043442,0.051069,0.040442,0.039972,0.03594,0.040494,0.037762,0.035725,0.0377,0.042797,0.208367,0.047554,0.042474,0.036647,0.065622,0.050079,0.103426,0.043822,0.069797,0.044594,0.027617,0.085526,0.087105,0.070563,0.038137,0.03972,0.036763,0.082505,0.069678,0.073755,0.155855,0.062645,0.035342,0.038328,0.098288,0.044881,0.040962
386,0.304654,0.464688,0.29587,0.377246,0.51868,0.462288,0.315854,0.302542,0.319498,0.176331,0.030452,0.17591,0.529752,0.324893,0.510206,0.383911,0.393019,0.576761,0.442047,0.492013,0.321189,0.111768,0.195126,0.601087,0.658889,0.640885,0.057855,0.10013,0.141511,0.080559,0.105313,0.272379,0.06017,0.041445,0.044022,0.041867,0.044152,0.050822,0.038583,0.039387,0.054067,0.037406,0.052969,0.042485,0.047092,0.038418,0.042587,0.041042,0.040862,0.042197,0.039445,0.040054,0.048545,0.040316,0.038923,0.051729,0.115951,0.117978,0.037061,0.138545,0.045164,0.067391,0.060212,0.42663,0.149233,0.274996,0.239107,0.106483,0.149981,0.185528,0.203224,0.182485,0.091969,0.228372,0.230319,0.130003,0.159287,0.320611,0.245334,0.167586,0.227379,0.067466,0.06415,0.024125,0.081178,0.080294,0.068563,0.065555,0.465223,0.038305,0.059008,0.047677,0.101244,0.410054,0.133682,0.04884,0.052299,0.04027,0.039228,0.037901,0.039769,0.044096,0.046889,0.036427,0.041996,0.085941,0.046151,0.034965,0.028959,0.049677,0.086351,0.038039,0.036495,0.086722,0.082989,0.05418,0.081235,0.04716,0.055442,0.10109,0.055068,0.059877,0.243191,0.015782,0.043332,0.050945,0.040362,0.040102,0.03595,0.040423,0.037742,0.035785,0.0377,0.042877,0.208934,0.047657,0.042633,0.036711,0.065731,0.049396,0.103605,0.04387,0.069645,0.044428,0.027974,0.085617,0.087581,0.070972,0.038119,0.039767,0.037052,0.083272,0.069902,0.074064,0.156321,0.062873,0.035421,0.03836,0.098768,0.044853,0.040911
387,0.308462,0.46949,0.298895,0.380914,0.523528,0.46594,0.318745,0.304548,0.321597,0.177957,0.03053,0.179987,0.535961,0.330506,0.514306,0.387566,0.398775,0.581183,0.444752,0.496551,0.321795,0.114383,0.193626,0.605694,0.661825,0.644765,0.058681,0.103414,0.14605,0.081803,0.106951,0.276139,0.060825,0.041686,0.043699,0.041659,0.04399,0.050745,0.03849,0.039395,0.054206,0.037403,0.052867,0.042533,0.047171,0.038366,0.042595,0.041233,0.040794,0.04232,0.039351,0.039987,0.048661,0.040646,0.039048,0.051994,0.11959,0.121674,0.03714,0.142022,0.045416,0.067798,0.062198,0.427128,0.153642,0.282395,0.243135,0.106726,0.150779,0.186265,0.205387,0.184649,0.092782,0.230921,0.233416,0.131094,0.161366,0.324915,0.249161,0.169677,0.230266,0.067707,0.064729,0.024073,0.081204,0.080297,0.06879,0.065447,0.466332,0.038469,0.059092,0.048576,0.101611,0.413945,0.134567,0.048935,0.052439,0.040367,0.039343,0.037857,0.039801,0.044224,0.046894,0.0365,0.042125,0.086935,0.046033,0.034779,0.02888,0.049978,0.087432,0.037868,0.036318,0.086388,0.082857,0.054754,0.082396,0.047147,0.056008,0.100786,0.055087,0.060316,0.247399,0.015808,0.043232,0.050843,0.040288,0.04022,0.035962,0.040369,0.037724,0.035833,0.0377,0.042969,0.20949,0.047763,0.042778,0.036778,0.065833,0.048735,0.103782,0.043922,0.069489,0.044291,0.028304,0.08571,0.088049,0.071381,0.038108,0.03982,0.037341,0.084079,0.070152,0.074397,0.156768,0.063093,0.035497,0.038393,0.09925,0.04483,0.04086
388,0.312323,0.474292,0.301941,0.384613,0.52838,0.469592,0.32165,0.306577,0.323713,0.179594,0.030616,0.184129,0.542025,0.336128,0.518339,0.39115,0.404507,0.585563,0.447194,0.500917,0.322238,0.117119,0.192087,0.610249,0.664643,0.648595,0.059531,0.106828,0.150753,0.083115,0.108612,0.279862,0.061499,0.041895,0.043418,0.041477,0.043828,0.050666,0.038395,0.039398,0.05431,0.037401,0.052771,0.04257,0.047248,0.038329,0.042598,0.041377,0.040743,0.042445,0.039262,0.039922,0.04876,0.040892,0.039154,0.052214,0.123313,0.124522,0.037224,0.145345,0.045611,0.06824,0.064315,0.427459,0.158235,0.289915,0.247263,0.106977,0.151581,0.187044,0.207571,0.18684,0.093608,0.233544,0.23658,0.132227,0.163497,0.329353,0.253121,0.171829,0.233199,0.067961,0.065314,0.024034,0.081233,0.080299,0.069005,0.06535,0.467307,0.038594,0.059152,0.049431,0.101976,0.41785,0.135417,0.049027,0.05257,0.040439,0.039428,0.037826,0.039833,0.04432,0.046898,0.036554,0.04222,0.087981,0.045901,0.034589,0.028794,0.050206,0.088453,0.037704,0.036143,0.086038,0.082714,0.055315,0.083528,0.047132,0.056435,0.100486,0.055096,0.060673,0.25157,0.015837,0.043143,0.050766,0.040219,0.040327,0.035974,0.04033,0.037711,0.03587,0.0377,0.04307,0.210037,0.047872,0.042905,0.036849,0.065929,0.048098,0.103957,0.043979,0.069329,0.044188,0.028603,0.085805,0.088509,0.071788,0.038102,0.039876,0.037628,0.084922,0.070421,0.07475,0.157198,0.063304,0.035568,0.038427,0.099732,0.044814,0.040807
389,0.316236,0.479096,0.30501,0.388341,0.533238,0.473246,0.324568,0.308628,0.325848,0.181242,0.030706,0.188334,0.547939,0.34176,0.522304,0.394662,0.410215,0.589903,0.449351,0.505102,0.322508,0.119963,0.190511,0.614751,0.667336,0.652374,0.060405,0.11036,0.155608,0.084484,0.110295,0.283549,0.062191,0.042068,0.043183,0.041323,0.043664,0.050584,0.038298,0.0394,0.054377,0.0374,0.052682,0.042592,0.047325,0.038307,0.0426,0.041468,0.040711,0.042572,0.039178,0.03986,0.04884,0.041046,0.039238,0.052385,0.127118,0.126404,0.03731,0.148507,0.045742,0.06871,0.066527,0.427643,0.162993,0.297551,0.251486,0.107235,0.152388,0.187858,0.209775,0.189057,0.094448,0.236239,0.239809,0.133396,0.165675,0.333917,0.257204,0.174038,0.236178,0.068226,0.065904,0.024009,0.081265,0.0803,0.069209,0.065268,0.468134,0.038672,0.059188,0.05024,0.102339,0.421768,0.136228,0.049116,0.05269,0.040484,0.039481,0.037806,0.039866,0.04438,0.046899,0.036588,0.042279,0.089072,0.045757,0.034396,0.0287,0.05035,0.08941,0.037548,0.035971,0.085675,0.082561,0.055864,0.08463,0.047117,0.056706,0.100191,0.0551,0.060938,0.255704,0.015867,0.043065,0.050717,0.040157,0.04042,0.035987,0.040308,0.037703,0.035892,0.0377,0.043181,0.210574,0.047985,0.043013,0.036923,0.066018,0.047486,0.104129,0.044038,0.069166,0.044123,0.02887,0.085902,0.088959,0.072195,0.0381,0.039937,0.037915,0.085797,0.070705,0.075119,0.157609,0.063507,0.035636,0.038463,0.100216,0.044803,0.040754
