380,0.118000,0.054600,0.008600,0.115700,0.055000,0.007000,0.118000,0.054200,0.007400,0.117600,0.054800,0.008200,0.054500,0.116700,0.008300,0.055100,0.048100,0.096400,0.020700,0.058000,0.072000,0.019200,0.076900,0.069500,0.108200,0.027200,0.052000,0.054300,0.070600,0.082500,0.068500,0.100000,0.020800,0.061900,0.047800,0.045700,0.022700,0.026300,0.129500,0.019700,0.027000,0.008000,0.115400,0.052300,0.027400,0.121700,0.028200,0.019600,0.015300,0.014900,0.069000,0.053600,0.091800,0.068400,0.025300,0.116100,0.006400,0.064400,0.077800,0.117900,0.116700,0.086500,0.075700,0.053600,0.040200,0.017500,0.114100,0.062000,0.030000,0.053500,0.053200,0.076200,0.018100,0.081500,0.008100,0.034800,0.047600,0.074300,0.081200,0.103000,0.077600,0.016700,0.034600,0.009100,0.116200,0.014400,0.079700,0.057900,0.078600,0.050300,0.021800,0.065100,0.024100,0.063300,0.057300,0.016800,0.018900,0.116700,0.007700,0.063700,0.041800,0.065800,0.072300,0.054600,0.059000,0.057700,0.024300,0.058600,0.020900,0.031400,0.022100,0.053800,0.054800,0.019800,0.043400,0.033600,0.012100,0.050500,0.037500,0.020500,0.022400,0.042300,0.029700,0.021700,0.010900,0.009200,0.116800,0.054200,0.007700,0.117200,0.054400,0.008000,0.115900,0.054600,0.007500,0.117000,0.055200,0.009000,0.053800,0.117800
381,0.120564,0.057383,0.008729,0.118168,0.057716,0.007237,0.120433,0.057011,0.007637,0.120270,0.057520,0.008242,0.057255,0.119387,0.008301,0.057006,0.049286,0.098589,0.021234,0.060692,0.075413,0.019610,0.080109,0.072450,0.111905,0.027310,0.054251,0.057029,0.073756,0.085259,0.071586,0.102678,0.021062,0.064772,0.050037,0.047922,0.023092,0.026725,0.132743,0.019954,0.028023,0.008114,0.118020,0.053776,0.028385,0.124959,0.028928,0.019872,0.015675,0.014990,0.072141,0.056130,0.093913,0.071886,0.026178,0.118693,0.006598,0.066774,0.080546,0.121298,0.119345,0.089025,0.079080,0.056433,0.041923,0.017906,0.117201,0.065455,0.031022,0.056276,0.056051,0.079072,0.018529,0.084944,0.008131,0.036244,0.049827,0.077851,0.084020,0.105454,0.080730,0.016853,0.035557,0.009047,0.118696,0.014547,0.082230,0.060349,0.082194,0.052490,0.022165,0.067980,0.024536,0.066529,0.060187,0.016870,0.018813,0.119230,0.007706,0.066599,0.043840,0.068768,0.075874,0.057050,0.061953,0.060595,0.024770,0.061389,0.021475,0.032299,0.022308,0.056487,0.057505,0.020012,0.045205,0.034755,0.012297,0.052675,0.038952,0.020501,0.022814,0.044000,0.030784,0.021886,0.011029,0.009162,0.119348,0.056934,0.007798,0.119731,0.057256,0.008042,0.118529,0.057337,0.007564,0.119523,0.057893,0.009054,0.056517,0.120212
382,0.124411,0.060309,0.008854,0.121918,0.060579,0.007468,0.124157,0.059959,0.007868,0.124200,0.060387,0.008290,0.060154,0.123328,0.008305,0.059133,0.050522,0.102015,0.021753,0.063466,0.079244,0.020011,0.084001,0.075791,0.116416,0.027431,0.056485,0.059902,0.076992,0.088949,0.075208,0.106565,0.021316,0.067944,0.052268,0.050284,0.023477,0.027140,0.136993,0.020203,0.029052,0.008225,0.121897,0.055379,0.029446,0.129234,0.029758,0.020138,0.016037,0.015078,0.075863,0.058955,0.097271,0.075738,0.027032,0.122550,0.006790,0.069799,0.084115,0.125676,0.123258,0.092612,0.082983,0.059408,0.043640,0.018303,0.121417,0.069084,0.032016,0.059199,0.059039,0.082591,0.018965,0.088967,0.008165,0.037667,0.052078,0.081769,0.087763,0.109182,0.084608,0.017002,0.036499,0.008998,0.122481,0.014696,0.085737,0.062796,0.086284,0.054758,0.022528,0.071064,0.024965,0.069862,0.063107,0.016940,0.018733,0.123036,0.007713,0.069777,0.045959,0.071839,0.079858,0.059618,0.065059,0.063626,0.025231,0.064245,0.022039,0.033186,0.022513,0.059324,0.060366,0.020219,0.047029,0.035921,0.012488,0.054920,0.040396,0.020505,0.023224,0.045667,0.031846,0.022072,0.011154,0.009128,0.123160,0.059821,0.007890,0.123532,0.060251,0.008078,0.122407,0.060224,0.007626,0.123308,0.060737,0.009098,0.059384,0.123903
383,0.129417,0.063371,0.008974,0.126825,0.063583,0.007688,0.129046,0.063039,0.008088,0.129268,0.063393,0.008341,0.063192,0.128401,0.008310,0.061468,0.051808,0.106554,0.022259,0.066319,0.083465,0.020402,0.088519,0.079498,0.121669,0.027562,0.058701,0.062912,0.080305,0.093487,0.079324,0.111546,0.021562,0.071398,0.054493,0.052779,0.023856,0.027543,0.142159,0.020442,0.030088,0.008331,0.126911,0.057101,0.030580,0.134436,0.030682,0.020397,0.016386,0.015162,0.080123,0.062058,0.101747,0.079934,0.027859,0.127549,0.006977,0.073419,0.088434,0.130947,0.128317,0.097160,0.087372,0.062520,0.045353,0.018690,0.126644,0.072880,0.032981,0.062262,0.062158,0.086705,0.019408,0.093525,0.008200,0.039068,0.054352,0.086032,0.092347,0.114060,0.089172,0.017146,0.037424,0.008954,0.127427,0.014849,0.090133,0.065241,0.090835,0.057102,0.022891,0.074341,0.025387,0.073297,0.066059,0.017010,0.018660,0.127995,0.007721,0.073215,0.048154,0.075009,0.084225,0.062298,0.068311,0.066787,0.025681,0.067167,0.022591,0.034060,0.022713,0.062305,0.063376,0.020419,0.048873,0.037096,0.012672,0.057231,0.041834,0.020510,0.023632,0.047302,0.032884,0.022260,0.011274,0.009098,0.128113,0.062855,0.007977,0.128479,0.063378,0.008109,0.127412,0.063254,0.007686,0.128234,0.063725,0.009131,0.062394,0.128748
384,0.135457,0.066563,0.009087,0.132763,0.066722,0.007895,0.134972,0.066245,0.008295,0.135352,0.066532,0.008397,0.066362,0.134487,0.008318,0.063995,0.053139,0.112084,0.022748,0.069249,0.088049,0.020782,0.093610,0.083542,0.127597,0.027702,0.060900,0.066053,0.083695,0.098788,0.083895,0.117504,0.021799,0.075116,0.056712,0.055401,0.024228,0.027935,0.148154,0.020666,0.031129,0.008430,0.132940,0.058936,0.031783,0.140474,0.031694,0.020650,0.016720,0.015241,0.084874,0.065418,0.107220,0.084450,0.028657,0.133566,0.007158,0.077578,0.093432,0.137027,0.134399,0.102571,0.092209,0.065761,0.047060,0.019068,0.132782,0.076836,0.033913,0.065460,0.065404,0.091360,0.019858,0.098576,0.008238,0.040446,0.056649,0.090616,0.097688,0.119962,0.094360,0.017286,0.038333,0.008915,0.133410,0.015005,0.095324,0.067684,0.095812,0.059519,0.023252,0.077800,0.025800,0.076830,0.069044,0.017080,0.018594,0.133981,0.007730,0.076898,0.050422,0.078276,0.088949,0.065086,0.071702,0.070074,0.026120,0.070152,0.023132,0.034921,0.022910,0.065421,0.066527,0.020612,0.050736,0.038282,0.012849,0.059607,0.043265,0.020518,0.024037,0.048902,0.033898,0.022448,0.011387,0.009072,0.134083,0.066028,0.008055,0.134448,0.066633,0.008135,0.133425,0.066420,0.007742,0.134177,0.066850,0.009157,0.065540,0.134621
385,0.142406,0.069878,0.009190,0.139606,0.069987,0.008086,0.141808,0.069571,0.008486,0.142331,0.069798,0.008456,0.069658,0.141465,0.008328,0.066701,0.054516,0.118482,0.023221,0.072253,0.092967,0.021150,0.099218,0.087898,0.134136,0.027850,0.063080,0.069319,0.087158,0.104768,0.088880,0.124324,0.022027,0.079078,0.058926,0.058142,0.024592,0.028315,0.154887,0.020869,0.032176,0.008522,0.139861,0.060876,0.033049,0.147258,0.032786,0.020895,0.017036,0.015312,0.090072,0.069016,0.113563,0.089264,0.029423,0.140480,0.007333,0.082219,0.099035,0.143830,0.141381,0.108742,0.097456,0.069127,0.048763,0.019435,0.139728,0.080944,0.034811,0.068785,0.068770,0.096504,0.020316,0.104077,0.008277,0.041801,0.058969,0.095499,0.103704,0.126765,0.100109,0.017420,0.039224,0.008881,0.140303,0.015164,0.101221,0.070125,0.101182,0.062006,0.023613,0.081432,0.026206,0.080458,0.072060,0.017150,0.018538,0.140869,0.007740,0.080809,0.052760,0.081635,0.094003,0.067977,0.075226,0.073479,0.026548,0.073199,0.023660,0.035769,0.023103,0.068667,0.069813,0.020798,0.052618,0.039477,0.013017,0.062046,0.044689,0.020528,0.024438,0.050466,0.034886,0.022638,0.011490,0.009050,0.140949,0.069333,0.008125,0.141316,0.070009,0.008156,0.140324,0.069715,0.007796,0.141014,0.070106,0.009175,0.068816,0.141396
386,0.150138,0.073312,0.009282,0.147228,0.073374,0.008259,0.149428,0.073011,0.008659,0.150084,0.073184,0.008519,0.073073,0.149213,0.008339,0.069571,0.055935,0.125626,0.023676,0.075329,0.098191,0.021506,0.105289,0.092538,0.141220,0.028007,0.065242,0.072704,0.090692,0.111343,0.094238,0.131890,0.022245,0.083266,0.061133,0.060995,0.024949,0.028681,0.162269,0.021046,0.033229,0.008603,0.147554,0.062914,0.034376,0.154697,0.033951,0.021133,0.017334,0.015375,0.095673,0.072832,0.120653,0.094353,0.030155,0.148167,0.007501,0.087286,0.105172,0.151271,0.149141,0.115574,0.103074,0.072610,0.050461,0.019792,0.147379,0.085196,0.035672,0.072232,0.072250,0.102084,0.020780,0.109983,0.008319,0.043132,0.061312,0.100658,0.110312,0.134342,0.106357,0.017549,0.040097,0.008853,0.147979,0.015326,0.107732,0.072564,0.106908,0.064561,0.023972,0.085225,0.026602,0.084178,0.075108,0.017220,0.018490,0.148537,0.007750,0.084932,0.055165,0.085084,0.099361,0.070965,0.078875,0.076998,0.026964,0.076306,0.024175,0.036604,0.023291,0.072036,0.073225,0.020976,0.054519,0.040683,0.013175,0.064545,0.046105,0.020539,0.024837,0.051992,0.035847,0.022828,0.011582,0.009032,0.148587,0.072764,0.008185,0.148958,0.073499,0.008173,0.147989,0.073134,0.007845,0.148622,0.073485,0.009187,0.072214,0.148948
387,0.158529,0.076857,0.009361,0.155504,0.076876,0.008409,0.157704,0.076560,0.008809,0.158489,0.076684,0.008585,0.076601,0.157611,0.008352,0.072590,0.057395,0.133392,0.024113,0.078474,0.103694,0.021850,0.111767,0.097435,0.148784,0.028171,0.067385,0.076201,0.094296,0.118427,0.099930,0.140087,0.022452,0.087661,0.063334,0.063955,0.025299,0.029033,0.170210,0.021193,0.034288,0.008674,0.155895,0.065042,0.035759,0.162702,0.035182,0.021362,0.017611,0.015427,0.101631,0.076848,0.128366,0.099694,0.030851,0.156505,0.007662,0.092724,0.111769,0.159264,0.157555,0.122966,0.109025,0.076205,0.052153,0.020137,0.155634,0.089585,0.036493,0.075793,0.075839,0.108047,0.021250,0.116251,0.008362,0.044437,0.063676,0.106070,0.117429,0.142568,0.113043,0.017671,0.040952,0.008830,0.156313,0.015490,0.114767,0.075001,0.112958,0.067180,0.024331,0.089168,0.026991,0.087985,0.078186,0.017290,0.018451,0.156858,0.007762,0.089249,0.057634,0.088618,0.104997,0.074047,0.082644,0.080626,0.027368,0.079472,0.024678,0.037425,0.023475,0.075520,0.076757,0.021146,0.056437,0.041898,0.013324,0.067102,0.047515,0.020552,0.025232,0.053480,0.036780,0.023020,0.011661,0.009018,0.156874,0.076313,0.008233,0.157251,0.077100,0.008185,0.156300,0.076668,0.007891,0.156877,0.076981,0.009195,0.075729,0.157150
388,0.167453,0.080507,0.009425,0.164309,0.080485,0.008535,0.166509,0.080212,0.008935,0.167424,0.080291,0.008654,0.080236,0.166539,0.008367,0.075744,0.058894,0.141658,0.024530,0.081686,0.109449,0.022181,0.118599,0.102562,0.156762,0.028341,0.069509,0.079803,0.097967,0.125938,0.105915,0.148798,0.022647,0.092244,0.065529,0.067013,0.025641,0.029371,0.178622,0.021305,0.035353,0.008731,0.164765,0.067254,0.037193,0.171180,0.036472,0.021584,0.017865,0.015466,0.107901,0.081045,0.136578,0.105264,0.031509,0.165372,0.007816,0.098477,0.118755,0.167723,0.166501,0.130818,0.115272,0.079906,0.053840,0.020470,0.164391,0.094104,0.037273,0.079463,0.079530,0.114339,0.021727,0.122839,0.008407,0.045718,0.066063,0.111713,0.124971,0.151320,0.120103,0.017788,0.041788,0.008814,0.165179,0.015658,0.122234,0.077436,0.119296,0.069862,0.024688,0.093253,0.027370,0.091877,0.081294,0.017360,0.018423,0.165709,0.007774,0.093743,0.060165,0.092235,0.110883,0.077216,0.086525,0.084355,0.027759,0.082694,0.025166,0.038231,0.023655,0.079113,0.080402,0.021307,0.058374,0.043123,0.013461,0.069715,0.048917,0.020567,0.025625,0.054929,0.037684,0.023212,0.011725,0.009008,0.165687,0.079973,0.008270,0.166072,0.080804,0.008194,0.165136,0.080312,0.007932,0.165658,0.080587,0.009198,0.079352,0.165876
389,0.176785,0.084257,0.009472,0.173516,0.084195,0.008633,0.175717,0.083960,0.009033,0.176768,0.083998,0.008726,0.083971,0.175876,0.008383,0.079019,0.060429,0.150302,0.024926,0.084962,0.115427,0.022498,0.125728,0.107893,0.165089,0.028518,0.071614,0.083505,0.101702,0.133790,0.112151,0.157907,0.022830,0.096997,0.067717,0.070164,0.025975,0.029693,0.187415,0.021375,0.036424,0.008774,0.174040,0.069543,0.038675,0.180043,0.037813,0.021796,0.018096,0.015491,0.114439,0.085402,0.145164,0.111040,0.032126,0.174644,0.007962,0.104487,0.126056,0.176564,0.175857,0.139030,0.121776,0.083706,0.055523,0.020792,0.173547,0.098745,0.038010,0.083234,0.083319,0.120908,0.022211,0.129703,0.008453,0.046972,0.068471,0.117564,0.132856,0.160473,0.127477,0.017897,0.042604,0.008803,0.174450,0.015828,0.130042,0.079869,0.125888,0.072603,0.025045,0.097467,0.027740,0.095849,0.084432,0.017430,0.018406,0.174964,0.007787,0.098399,0.062755,0.095930,0.116993,0.080469,0.090513,0.088182,0.028136,0.085970,0.025640,0.039023,0.023830,0.082809,0.084152,0.021458,0.060328,0.044357,0.013587,0.072382,0.050312,0.020583,0.026014,0.056336,0.038557,0.023406,0.011772,0.009002,0.174903,0.083738,0.008292,0.175296,0.084606,0.008198,0.174376,0.084058,0.007969,0.174839,0.084296,0.009200,0.083078,0.175002
