380,0.000919,0.000758,0.000776
381,0.000880,0.000750,0.000787
382,0.000843,0.000745,0.000793
383,0.000810,0.000744,0.000795
384,0.000781,0.000746,0.000794
385,0.000756,0.000751,0.000790
386,0.000735,0.000759,0.000785
387,0.000720,0.000769,0.000779
388,0.000709,0.000782,0.000773
389,0.000705,0.000796,0.000767
390,0.000706,0.000812,0.000764
391,0.000714,0.000829,0.000763
392,0.000729,0.000847,0.000765
393,0.000751,0.000865,0.000771
394,0.000781,0.000884,0.000782
395,0.000819,0.000904,0.000799
396,0.000864,0.000923,0.000822
397,0.000908,0.000941,0.000852
398,0.000940,0.000959,0.000882
399,0.000947,0.000977,0.000899
400,0.000917,0.000992,0.000892
401,0.000854,0.001007,0.000847
402,0.000806,0.001020,0.000841
403,0.000835,0.001042,0.001126
404,0.001004,0.001090,0.002059
405,0.001430,0.001181,0.004377
406,0.002250,0.001330,0.008168
407,0.003456,0.001551,0.013121
408,0.004980,0.001857,0.018935
409,0.006752,0.002261,0.026186
410,0.008701,0.002777,0.035532
411,0.010754,0.003407,0.045515
412,0.012831,0.004123,0.054839
413,0.014849,0.004896,0.064685
414,0.016710,0.005693,0.074794
415,0.018276,0.006484,0.082679
416,0.019417,0.007239,0.089237
417,0.020164,0.007927,0.095000
418,0.020628,0.008549,0.100194
419,0.020915,0.009119,0.105025
420,0.021082,0.009651,0.109693
421,0.021171,0.010159,0.114409
422,0.021223,0.010650,0.119371
423,0.021269,0.011133,0.124460
424,0.021307,0.011616,0.129297
425,0.021326,0.012107,0.133652
426,0.021316,0.012610,0.137511
427,0.021268,0.013121,0.140892
428,0.021179,0.013630,0.143933
429,0.021057,0.014129,0.146834
430,0.020914,0.014622,0.149786
431,0.020759,0.015130,0.152864
432,0.020603,0.015675,0.156036
433,0.020454,0.016279,0.159265
434,0.020313,0.016962,0.162525
435,0.020174,0.017717,0.165803
436,0.020031,0.018498,0.169083
437,0.019874,0.019260,0.172375
438,0.019698,0.019955,0.175733
439,0.019501,0.020559,0.179215
440,0.019285,0.021116,0.182856
441,0.019054,0.021685,0.186600
442,0.018809,0.022324,0.190360
443,0.018555,0.023085,0.193914
444,0.018295,0.023934,0.196926
445,0.018031,0.024796,0.199324
446,0.017764,0.025594,0.201311
447,0.017493,0.026296,0.203065
448,0.017219,0.026948,0.204651
449,0.016943,0.027603,0.206109
450,0.016664,0.028316,0.207475
451,0.016383,0.029140,0.208776
452,0.016101,0.030117,0.210033
453,0.015827,0.031245,0.211266
454,0.015582,0.032512,0.212502
455,0.015383,0.033908,0.213772
